Location,Stone No,Report No,Lab,Shape,Carats,Color,Clarity,Cut,Polish,Sym,Flour,Measurement,Diameter (MM),Depth %,Table %,Key To Symbols,Amount$,BGM
HK,DP-1,1232495312,GIA,ROUND,10.02,J,SI2,EX,EX,EX,MED,13.79 - 13.87 * 8.46,13.8,61.2,60,"Crystal, Feather",148346.1,NO BGM
VN,DQ-2,717543836,GIA,ROUND,10.01,K,VS2,EX,EX,EX,NON,13.48 - 13.57 * 8.63,13.5,63.7,58,,118693.57,NO BGM
IND,TB-7,5234038396,GIA,ROUND,8.02,D,FL,EX,EX,EX,MED,12.77 - 12.85 * 7.87,12.8,61.4,59,,372930,NO BGM
HK,DO-1,5231495325,GIA,ROUND,7.12,E,SI2,EX,EX,EX,NON,12.24 - 12.32 * 7.65,12.2,62.3,57,"Crystal, Feather, Needle",142827.2,NO BGM
VN,UQ-1,1485130786,GIA,ROUND,6.23,E,FL,EX,EX,EX,STG,11.92 - 11.95 * 7.21,11.9,60.4,58,,202879.95,NO BGM
IND,IH25-1,6532093371,GIA,ROUND,5.5,K,IF,EX,EX,EX,STG,11.32 - 11.39 * 6.94,11.3,61.1,60,,62315,NO BGM
HK,SQ-3,2468830993,GIA,ROUND,5.12,D,SI1,EX,EX,EX,FNT,10.96 - 11.02 * 6.90,11.3,62.8,56,"Crystal, Pinpoint",107878.4,NO BGM
VN,AB-1,651448812,GIA,ROUND,5.06,D,SI2,EX,EX,EX,SLT,10.91 - 10.96 * 6.83,11.3,62.4,58,,57380.4,NO BGM
IND,G25-8141,7541148395,GIA,ROUND,5.06,J,IF,EX,EX,EX,FNT,11.00 - 11.07 * 6.77,11.3,61.3,56,,82174.4,NO BGM
HK,BD-6473,2215912633,GIA,ROUND,5.05,F,SI1,EX,EX,EX,STG,10.90 - 10.98 * 6.85,11.3,62.7,57,Crystal,62721,NO BGM
VN,HR-1,1539083815,GIA,ROUND,5.03,D,VS1,EX,EX,EX,VSTG,11.11 - 11.13 * 6.70,11.3,60.2,58,,100650.3,NO BGM
IND,II25-1,2536283287,GIA,ROUND,3.26,F,VS1,EX,EX,EX,STG,9.40 - 9.44 * 5.92,11.3,62.8,58,"Crystal, Pinpoint, Needle",35582.9,NO BGM
HK,HS-1,6532526861,GIA,ROUND,3.05,M,VVS1,EX,EX,EX,MED,9.21 - 9.28 * 5.77,11.3,62.4,59,Pinpoint,13322.4,NO BGM
VN,HM-9,2.5E+11,GIA,ROUND,2.05,J,SI2,EX,EX,EX,STG,8.08 - 8.12 * 5.05,11.3,62.3,57,,3616.2,NO BGM
IND,G25-7859,1547249929,GIA,ROUND,2.03,H,SI1,EX,EX,EX,FNT,8.03 - 8.06 * 5.02,11.3,62.4,57,"Crystal, Cloud, Needle",11506.04,NO BGM
HK,OQ-40,1457159045,GIA,ROUND,2.02,G,I2,EX,EX,EX,FNT,8.03 - 8.07 * 5.06,11.3,62.9,57,"Twinning Wisp, Feather, Crystal, Needle, Indented Natural, Natural",3110.8,NO BGM
VN,S25-3292,2.5E+11,GIA,ROUND,2.01,G,SI2,VG,EX,VG,SLT,7.79 - 7.89 * 5.08,11.3,64.6,56,,5640.06,NO BGM
IND,BBP-83,2.5E+11,GIA,ROUND,2.01,H,SI1,GD,VG,VG,STG,7.65 - 7.72 * 5.09,11.3,66.1,58,,5330.52,NO BGM
HK,GR-124,2528399489,GIA,ROUND,2.01,H,SI2,GD,EX,VG,NON,7.64 - 7.74 * 5.11,11.3,66.4,59,"Cloud, Crystal, Feather, Needle, Indented Natural, Natural",6395.82,NO BGM
VN,AZP-32,3515189781,GIA,ROUND,2.01,J,SI2,VG,EX,VG,NON,7.82 - 7.92 * 5.00,11.3,63.5,57,"Crystal, Needle, Indented Natural, Natural",4811.94,NO BGM
IND,G25-8473,754579695,GIA,ROUND,2.01,K,VS1,VG,EX,VG,SLT,7.81 - 7.89 * 5.06,11.3,64.3,57,,4783.8,NO BGM
HK,S25-3356,2.5E+11,GIA,ROUND,2,F,SI2,FR,VG,VG,STG,7.66 - 7.71 * 5.07,11.3,65.9,55,,5390,NO BGM
VN,AS-123,647428498,GIA,ROUND,2,G,SI2,VG,EX,EX,NON,7.80 - 7.86 * 5.04,11.3,64.4,56,,4600,NO BGM
IND,G25-7934,2547172336,GIA,ROUND,2,H,VS2,VG,EX,VG,NON,8.03 - 8.09 * 4.94,11.3,61.3,65,"Feather, Needle, Pinpoint, Natural",11270,NO BGM
HK,G25-7064,6541184738,GIA,ROUND,2,H,VS2,VG,EX,VG,FNT,7.81 - 7.90 * 5.05,11.3,64.3,58,"Crystal, Cloud, Feather, Indented Natural, Needle, Natural",10580,NO BGM
VN,G25-6664,7541169961,GIA,ROUND,2,J,VS2,GD,EX,GD,FNT,7.54 - 7.72 * 5.15,11.3,67.5,56,"Cloud, Indented Natural, Crystal, Needle, Natural",6460,NO BGM
IND,GR-42,5526366364,GIA,ROUND,1.71,D,SI1,EX,EX,EX,FNT,7.58 - 7.64 * 4.76,11.3,62.6,56,"Crystal, Feather, Cloud",7951.5,NO BGM
HK,CJ-50,687509039,GIA,ROUND,1.71,D,I1,EX,EX,EX,STG,7.61 - 7.66 * 4.73,11.3,62,56,,3009.6,NO BGM
VN,BBP-7,722558732,GIA,ROUND,1.7,M,SI1,EX,EX,EX,NON,7.54 - 7.60 * 4.80,11.3,63.4,56,,1659.2,NO BGM
IND,BBP-77,2.5E+11,GIA,ROUND,1.63,I,SI2,EX,EX,EX,NON,7.47 - 7.49 * 4.70,11.3,62.8,56,,2410.77,NO BGM
HK,S25-2554,2.5E+11,GIA,ROUND,1.61,H,I1,EX,EX,EX,NON,7.43 - 7.47 * 4.69,11.3,63,57,,2366.7,NO BGM
VN,BBP-39,720591151,GIA,ROUND,1.61,K,SI1,EX,EX,EX,NON,7.44 - 7.48 * 4.68,11.3,62.8,58,,2060.8,NO BGM
IND,RU-86,6465389551,GIA,ROUND,1.6,G,SI2,EX,EX,EX,NON,7.42 - 7.46 * 4.67,11.3,62.8,58,"Crystal, Feather, Needle, Indented Natural, Natural",3552,NO BGM
HK,BX-351,6501847802,GIA,ROUND,1.6,J,SI2,EX,EX,EX,STG,7.46 - 7.49 * 4.62,11.3,61.9,58,"Crystal, Feather, Cloud, Cavity, Needle, Indented Natural",2270.4,NO BGM
VN,S25-2559,6541146709,GIA,ROUND,1.59,F,VS2,EX,EX,EX,NON,7.42 - 7.48 * 4.67,11.3,62.7,56,"Crystal, Cloud, Needle",8516.04,NO BGM
IND,JV-149,1425887535,GIA,ROUND,1.57,J,I2,EX,EX,EX,NON,7.36 - 7.40 * 4.61,11.3,62.5,57,"Twinning Wisp, Feather, Crystal, Cloud, Indented Natural, Needle, Natural",1551.16,NO BGM
HK,AZD-13,2517013119,GIA,ROUND,1.56,J,SI1,EX,EX,EX,MED,7.41 - 7.45 * 4.57,11.3,61.5,61,"Crystal, Cavity, Cloud, Needle, Indented Natural",2845.44,NO BGM
VN,AZG-124,671422932,GIA,ROUND,1.55,Q-R,VVS2,EX,EX,EX,STG,7.46 - 7.51 * 4.56,11.3,60.8,60,,1450.8,NO BGM
IND,BBP-64,722558739,GIA,ROUND,1.54,O-P,SI1,EX,EX,EX,NON,7.37 - 7.41 * 4.58,11.3,61.9,60,,1232,NO BGM
HK,G25-6393,5543159004,GIA,ROUND,1.52,D,SI1,VG,EX,VG,MED,7.16 - 7.21 * 4.62,11.3,64.4,56,"Twinning Wisp, Feather, Crystal",5018.28,NO BGM
VN,BBP-67,722558740,GIA,ROUND,1.52,J,VS2,EX,EX,EX,NON,7.33 - 7.36 * 4.55,11.3,61.8,61,,2416.8,NO BGM
IND,EJ-25,687509038,GIA,ROUND,1.51,E,I1,EX,EX,EX,VSL,7.37 - 7.40 * 4.55,11.3,61.6,59,,2198.56,NO BGM
HK,BAC-14,691562839,GIA,ROUND,1.51,E,I1,EX,EX,EX,STG,7.29 - 7.37 * 4.57,11.3,62.4,57,,1923.74,NO BGM
VN,BBW-77,1535202836,GIA,ROUND,1.51,F,VVS2,EX,EX,EX,FNT,7.24 - 7.30 * 4.58,11.3,63,56,"Cloud, Indented Natural",8770.08,NO BGM
IND,JV-127,2.3E+11,GIA,ROUND,1.51,G,I1,EX,EX,EX,NON,7.33 - 7.39 * 4.54,11.3,61.7,56,,1840.69,NO BGM
HK,RU-133,2.3E+11,GIA,ROUND,1.51,G,I1,VG,EX,VG,NON,7.11 - 7.22 * 4.59,11.3,63.9,55,,1632.31,NO BGM
VN,G25-6385,6542157452,GIA,ROUND,1.51,I,IF,EX,EX,EX,FNT,7.31 - 7.35 * 4.58,11.3,62.5,58,,6371.44,NO BGM
IND,BAJ-3,3515820650,GIA,ROUND,1.51,I,SI1,EX,EX,EX,NON,7.31 - 7.35 * 4.53,11.3,61.7,60,"Crystal, Feather, Needle",3551.52,NO BGM
HK,BAJ-50,1519825574,GIA,ROUND,1.51,I,SI2,EX,EX,EX,NON,7.27 - 7.31 * 4.60,11.3,63.1,58,"Crystal, Needle, Indented Natural, Natural",2772.36,NO BGM
VN,GR-38,2526327926,GIA,ROUND,1.5,D,VS1,VG,EX,VG,NON,7.08 - 7.17 * 4.60,11.3,64.5,55,"Cloud, Indented Natural, Natural",7939.5,NO BGM
IND,G25-6763,6541163950,GIA,ROUND,1.5,D,VS2,EX,EX,EX,FNT,7.31 - 7.36 * 4.54,11.3,61.9,59,"Crystal, Feather, Pinpoint",8640,NO BGM
HK,GR-24,2526344525,GIA,ROUND,1.5,D,VS2,EX,EX,VG,NON,7.21 - 7.31 * 4.59,11.3,63.3,55,"Crystal, Feather, Indented Natural, Needle, Natural",8280,NO BGM
VN,AZJ-22,1513088782,GIA,ROUND,1.5,D,VS2,VG,EX,VG,NON,7.15 - 7.22 * 4.52,11.3,62.9,56,"Cloud, Feather, Indented Natural, Needle, Natural",7020,NO BGM
IND,AZJ-21,678563166,GIA,ROUND,1.5,D,SI2,VG,EX,GD,NON,7.10 - 7.19 * 4.61,11.3,64.3,55,,3093.75,NO BGM
HK,BAC-19,691504837,GIA,ROUND,1.5,G,I1,EX,EX,EX,STG,7.26 - 7.31 * 4.56,11.3,62.6,56,,1587,NO BGM
VN,G25-6282,2544152283,GIA,ROUND,1.5,H,VS1,EX,EX,VG,FNT,7.25 - 7.33 * 4.58,11.3,62.8,56,"Crystal, Needle, Pinpoint, Indented Natural, Natural",5467.5,NO BGM
IND,GR-48,6522365585,GIA,ROUND,1.5,H,SI1,VG,EX,VG,NON,7.08 - 7.17 * 4.59,11.3,64.3,57,"Crystal, Cloud, Feather, Needle, Natural",3613.5,NO BGM
HK,S25-3613,2.5E+11,GIA,ROUND,1.5,H,I1,EX,EX,EX,NON,7.27 - 7.31 * 4.56,11.3,62.5,56,,2425.5,NO BGM
VN,G25-6388,2547159941,GIA,ROUND,1.5,I,VVS1,EX,EX,VG,MED,7.24 - 7.33 * 4.59,11.3,63,54,"Pinpoint, Feather",4738.5,NO BGM
IND,CJ-203,670411063,GIA,ROUND,1.5,I,VVS1,VG,EX,EX,STG,7.17 - 7.23 * 4.56,11.3,63.3,54,,2855.25,NO BGM
HK,BAJ-61,2518819762,GIA,ROUND,1.5,I,SI1,VG,EX,VG,FNT,7.07 - 7.15 * 4.58,11.3,64.3,56,"Crystal, Feather, Needle, Indented Natural, Natural",3024,NO BGM
VN,BBP-17,1528955692,GIA,ROUND,1.5,I,SI2,EX,EX,VG,NON,7.21 - 7.29 * 4.60,11.3,63.5,57,"Cloud, Crystal, Needle, Natural",2295,NO BGM
IND,GR-165,2.5E+11,GIA,ROUND,1.5,I,I1,EX,EX,EX,NON,7.23 - 7.29 * 4.60,11.3,63.3,56,,1638,NO BGM
HK,S25-3609,2.5E+11,GIA,ROUND,1.5,I,I1,VG,VG,VG,NON,7.27 - 7.36 * 4.43,11.3,60.3,62,,1696.5,NO BGM
VN,G25-6386,2544159967,GIA,ROUND,1.5,J,VS2,EX,EX,VG,NON,7.22 - 7.32 * 4.60,11.3,63.3,57,"Crystal, Indented Natural, Cloud, Natural",3378.75,NO BGM
IND,BBW-66,6531206996,GIA,ROUND,1.5,J,SI1,GD,VG,VG,STG,6.89 - 6.99 * 4.62,11.3,66.5,56,"Crystal, Indented Natural, Feather, Cloud, Pinpoint, Natural",2016,NO BGM
HK,BBP-57,722558734,GIA,ROUND,1.5,J,SI2,EX,EX,EX,NON,7.25 - 7.31 * 4.58,11.3,62.8,57,,1644.75,NO BGM
VN,FG-12,2.5E+11,GIA,ROUND,1.5,J,SI2,EX,EX,EX,NON,7.31 - 7.32 * 4.55,11.3,62.2,60,,1773.75,NO BGM
IND,FG-1,5513748664,GIA,ROUND,1.5,K,SI2,VG,EX,EX,FNT,7.09 - 7.16 * 4.60,11.3,64.5,55,"Crystal, Feather, Needle, Natural",1748.25,NO BGM
HK,EM-10,7518504567,GIA,ROUND,1.5,K,SI2,VG,EX,VG,FNT,7.11 - 7.19 * 4.60,11.3,64.3,57,"Cloud, Crystal, Feather, Indented Natural, Needle, Extra Facet",1748.25,NO BGM
VN,FG-15,2517748818,GIA,ROUND,1.5,K,SI2,VG,EX,VG,FNT,7.12 - 7.19 * 4.58,11.3,64,56,"Crystal, Feather, Cloud, Indented Natural, Needle, Natural",1748.25,NO BGM
IND,AXH-11,638474000,GIA,ROUND,1.5,L,SI2,EX,EX,EX,VSL,7.26 - 7.32 * 4.57,11.3,62.7,55,,1014.75,NO BGM
HK,BBP-14,6525955697,GIA,ROUND,1.5,L,SI2,VG,VG,VG,NON,7.11 - 7.17 * 4.56,11.3,63.9,56,"Crystal, Twinning Wisp, Cloud, Feather, Indented Natural, Needle, Natural",1485,NO BGM
VN,BAD-71,691562840,GIA,ROUND,1.34,G,SI2,EX,EX,EX,VSL,7.01 - 7.05 * 4.41,11.3,62.8,58,,1326.6,NO BGM
IND,AS-71,2.4E+11,GIA,ROUND,1.33,G,SI1,EX,EX,EX,NON,7.00 - 7.04 * 4.39,11.3,62.6,57,,1990.35,NO BGM
HK,BX-335,665452933,GIA,ROUND,1.32,F,I1,EX,EX,EX,NON,7.06 - 7.10 * 4.35,11.3,61.4,58,,1339.8,NO BGM
VN,BD-6575,2.3E+11,GIA,ROUND,1.32,I,SI2,EX,EX,EX,MED,7.00 - 7.02 * 4.36,11.3,62.2,56,,1090.98,NO BGM
IND,CI-28,671406004,GIA,ROUND,1.32,L,SI1,EX,EX,EX,NON,6.96 - 7.03 * 4.37,11.3,62.4,55,,942.48,NO BGM
HK,VA-63,613362434,GIA,ROUND,1.31,E,I1,VG,EX,VG,VSL,6.78 - 6.83 * 4.38,11.3,64.3,56,,1116.78,NO BGM
VN,G25-5222,749511053,GIA,ROUND,1.31,F,SI2,EX,EX,EX,VSL,6.96 - 6.99 * 4.35,11.3,62.4,56,,1627.67,NO BGM
IND,CI-184,671406700,GIA,ROUND,1.31,H,I1,VG,EX,EX,NON,6.88 - 6.94 * 4.32,11.3,62.5,56,,919.62,NO BGM
HK,BD-6327,459105565,GIA,ROUND,1.3,E,I1,VG,EX,VG,VSL,6.67 - 6.77 * 4.39,11.3,65.1,55.5,,1108.25,NO BGM
VN,G25-8701,6541298870,GIA,ROUND,1.3,F,VVS1,EX,EX,EX,FNT,6.91 - 6.96 * 4.35,11.3,62.8,56,"Pinpoint, Feather, Natural",7692.1,NO BGM
IND,G25-6390,1547160189,GIA,ROUND,1.3,K,VVS1,EX,EX,EX,FNT,6.93 - 6.98 * 4.37,11.3,62.8,57,"Feather, Natural",2574,NO BGM
HK,BBP-27,2.5E+11,GIA,ROUND,1.25,D,SI2,EX,EX,EX,NON,6.83 - 6.86 * 4.31,11.3,62.9,55,,1819.38,NO BGM
VN,S25-2918,2546150099,GIA,ROUND,1.25,G,SI2,EX,EX,EX,MED,6.85 - 6.88 * 4.32,11.3,62.9,56,"Crystal, Feather, Needle, Indented Natural",1753.13,NO BGM
IND,G25-8703,1547298774,GIA,ROUND,1.25,I,SI1,EX,EX,EX,MED,6.85 - 6.89 * 4.32,11.3,62.9,57,"Crystal, Feather, Needle",2040,NO BGM
HK,G25-7528,5546233813,GIA,ROUND,1.25,K,VVS2,EX,EX,EX,FNT,6.82 - 6.87 * 4.31,11.3,62.9,58,"Needle, Pinpoint",2208.75,NO BGM
VN,G25-4249,1549004295,GIA,ROUND,1.21,D,VVS1,EX,EX,EX,FNT,6.78 - 6.81 * 4.24,11.3,62.4,58,"Cloud, Pinpoint",7356.8,NO BGM
IND,S25-1827,739541520,GIA,ROUND,1.21,I,I1,EX,EX,EX,NON,6.75 - 6.78 * 4.27,11.3,63.1,56,,1059.96,NO BGM
HK,BAM-44,1515887473,GIA,ROUND,1.18,G,VS2,EX,EX,EX,FNT,6.71 - 6.73 * 4.23,11.3,63,57,"Crystal, Feather, Needle, Natural",2587.74,NO BGM
VN,G25-6397,2546160287,GIA,ROUND,1.18,K,VVS2,EX,EX,EX,FNT,6.73 - 6.78 * 4.23,11.3,62.6,57,Cloud,1865.58,NO BGM
IND,G25-6279,2544146313,GIA,ROUND,1.18,K,VS1,EX,EX,EX,FNT,6.68 - 6.73 * 4.21,11.3,62.8,56,"Crystal, Needle",1676.78,NO BGM
HK,G25-8271,6545248088,GIA,ROUND,1.16,F,VVS2,EX,EX,EX,FNT,6.67 - 6.72 * 4.21,11.3,62.8,57,Pinpoint,4268.8,NO BGM
VN,G25-7650,1548248502,GIA,ROUND,1.16,I,VVS1,EX,EX,EX,STG,6.74 - 6.78 * 4.13,11.3,61,60,"Pinpoint, Feather",2480.66,NO BGM
IND,S25-317,737562355,GIA,ROUND,1.15,F,I1,EX,EX,EX,NON,6.76 - 6.82 * 4.11,11.3,60.5,58,,1083.87,NO BGM
HK,BBW-49,5533220261,GIA,ROUND,1.15,I,SI1,EX,EX,EX,NON,6.68 - 6.70 * 4.16,11.3,62.2,55,"Crystal, Needle",1661.75,NO BGM
VN,G25-8272,7541248272,GIA,ROUND,1.15,K,VVS2,EX,EX,EX,MED,6.74 - 6.78 * 4.14,11.3,61.3,60,"Needle, Pinpoint",1764.67,NO BGM
IND,BAC-2,687522339,GIA,ROUND,1.15,L,VS1,EX,EX,EX,SLT,6.75 - 6.79 * 4.11,11.3,60.6,60,,891.25,NO BGM
HK,S25-1747,2537961720,GIA,ROUND,1.14,D,VS2,EX,EX,EX,MED,6.65 - 6.68 * 4.19,11.3,62.8,57,"Twinning Wisp, Crystal, Indented Natural, Natural",3225.06,NO BGM
VN,S25-302,737562350,GIA,ROUND,1.14,G,SI2,EX,EX,EX,NON,6.58 - 6.60 * 4.18,11.3,63.4,58,,1128.6,NO BGM
IND,CO-286,677570355,GIA,ROUND,1.14,H,I1,EX,VG,VG,NON,6.52 - 6.61 * 4.11,11.3,62.6,59,,859.56,NO BGM
HK,S25-1856,743505877,GIA,ROUND,1.14,I,I1,EX,EX,EX,STG,6.60 - 6.64 * 4.19,11.3,63.3,57,,875.52,NO BGM
VN,FG-13,692514585,GIA,ROUND,1.14,J,SI2,EX,EX,EX,VSL,6.74 - 6.79 * 4.12,11.3,61,59,,783.75,NO BGM
IND,GR-174,712527279,GIA,ROUND,1.14,J,SI2,EX,EX,EX,VSL,6.61 - 6.66 * 4.17,11.3,62.8,58,,783.75,NO BGM
HK,G25-7903,2547248268,GIA,ROUND,1.14,K,VS2,EX,EX,EX,STG,6.66 - 6.68 * 4.18,11.3,62.7,57,"Cloud, Crystal, Feather, Needle",1369.71,NO BGM
VN,AZG-41,670475738,GIA,ROUND,1.14,L,VVS1,EX,EX,EX,NON,6.67 - 6.71 * 4.15,11.3,62,59,,1149.12,NO BGM
IND,G25-6666,7546171175,GIA,ROUND,1.13,E,SI1,EX,EX,EX,MED,6.62 - 6.65 * 4.17,11.3,62.8,57,"Twinning Wisp, Feather, Crystal",2196.72,NO BGM
HK,CJ-229,671406711,GIA,ROUND,1.13,I,VS2,EX,EX,EX,NON,6.67 - 6.72 * 4.14,11.3,61.8,57,,1459.96,NO BGM
VN,G25-8154,6545257450,GIA,ROUND,1.13,J,VVS2,EX,EX,EX,FNT,6.64 - 6.67 * 4.17,11.3,62.6,57,Pinpoint,1952.64,NO BGM
IND,G25-8277,2546276185,GIA,ROUND,1.12,F,SI1,EX,EX,EX,NON,6.64 - 6.66 * 4.11,11.3,61.9,58,"Cloud, Crystal, Feather, Needle",2721.6,NO BGM
HK,AZV-78,2.5E+11,GIA,ROUND,1.12,G,SI1,EX,EX,EX,NON,6.62 - 6.65 * 4.12,11.3,62,60,,1538.32,NO BGM
VN,S25-2672,7548152368,GIA,ROUND,1.12,H,SI1,EX,EX,EX,FNT,6.58 - 6.62 * 4.15,11.3,62.9,57,"Twinning Wisp, Crystal, Cloud, Feather, Needle, Natural",1872.64,NO BGM
IND,CJ-38,669438913,GIA,ROUND,1.12,J,SI2,EX,EX,EX,SLT,6.57 - 6.63 * 4.16,11.3,63,56,,672,NO BGM
HK,CH-30,2.4E+11,GIA,ROUND,1.12,J,SI2,EX,EX,EX,STG,6.60 - 6.64 * 4.15,11.3,62.7,56,,756,NO BGM
VN,BCL-66,2.5E+11,GIA,ROUND,1.11,F,SI2,EX,EX,EX,SLT,6.58 - 6.61 * 4.16,11.3,63,55,,1107.23,NO BGM
IND,BBB-36,710573917,GIA,ROUND,1.11,I,SI1,EX,EX,EX,STG,6.58 - 6.60 * 4.13,11.3,62.7,56,,1075.59,NO BGM
HK,CJ-194,2.4E+11,GIA,ROUND,1.11,I,SI2,EX,EX,VG,STG,6.72 - 6.76 * 4.03,11.3,59.9,59,,788.66,NO BGM
VN,CH-17,668430394,GIA,ROUND,1.11,K,SI1,VG,EX,EX,SLT,6.54 - 6.59 * 4.13,11.3,62.9,56,,749.25,NO BGM
IND,S25-3436,752585955,GIA,ROUND,1.11,K,SI2,EX,EX,EX,NON,6.66 - 6.68 * 4.07,11.3,61,60,,893.55,NO BGM
HK,AAA-2114,499117802,GIA,ROUND,1.11,L,VS2,EX,EX,EX,NON,6.55 - 6.61 * 4.11,11.3,62.4,56,,791.43,NO BGM
VN,CJ-93,670402704,GIA,ROUND,1.11,L,SI2,EX,EX,EX,VSL,6.64 - 6.68 * 4.09,11.3,61.4,59,,654.9,NO BGM
IND,G25-6766,1545180184,GIA,ROUND,1.1,E,VVS2,EX,EX,EX,MED,6.64 - 6.68 * 4.03,11.3,60.5,59,"Cloud, Natural",3775.2,NO BGM
HK,G25-8274,5546248267,GIA,ROUND,1.1,E,SI1,EX,EX,EX,FNT,6.55 - 6.58 * 4.12,11.3,62.8,58,"Crystal, Feather, Cloud, Needle, Indented Natural",2296.8,NO BGM
VN,ZH-6070,1513974970,GIA,ROUND,1.1,E,SI1,EX,EX,EX,STG,6.63 - 6.67 * 4.01,11.3,60.3,60,"Crystal,  Feather,  Needle,  Natural",1874.4,NO BGM
IND,GR-7,6525373222,GIA,ROUND,1.1,F,VVS2,EX,EX,EX,STG,6.58 - 6.62 * 4.08,11.3,61.9,60,"Feather, Pinpoint",3168,NO BGM
HK,DW-20,2.5E+11,GIA,ROUND,1.1,F,SI1,EX,EX,EX,STG,6.61 - 6.66 * 4.08,11.3,61.4,55,,1386,NO BGM
VN,HH-3,6522414613,GIA,ROUND,1.1,F,SI2,EX,EX,EX,FNT,6.57 - 6.62 * 4.09,11.3,62.1,58,"Crystal, Feather, Needle, Natural",1578.5,NO BGM
IND,BAD-172,691562837,GIA,ROUND,1.1,F,I1,EX,EX,EX,NON,6.55 - 6.58 * 4.13,11.3,62.9,56,,1004.85,NO BGM
HK,G25-8795,2.5E+11,GIA,ROUND,1.1,J,SI2,EX,EX,EX,NON,6.54 - 6.59 * 4.11,11.3,62.5,57,,1182.5,NO BGM
VN,CH-27,668430396,GIA,ROUND,1.1,J,SI2,EX,EX,EX,SLT,6.56 - 6.61 * 4.09,11.3,62.1,57,,701.25,NO BGM
IND,BAJ-108,2.5E+11,GIA,ROUND,1.1,K,SI2,EX,EX,EX,NON,6.64 - 6.69 * 4.05,11.3,60.7,61,,784.3,NO BGM
HK,CI-100,671406623,GIA,ROUND,1.1,N,SI2,EX,EX,EX,SLT,6.53 - 6.59 * 4.15,11.3,63.2,56,,594,NO BGM
VN,S25-192,737565857,GIA,ROUND,1.09,D,I1,EX,EX,EX,NON,6.55 - 6.61 * 4.09,11.3,62.3,56,,1402.83,NO BGM
IND,AWW-87,1497267514,GIA,ROUND,1.09,G,SI2,EX,EX,EX,NON,6.53 - 6.57 * 4.13,11.3,63,57,"Crystal, Cloud, Needle, Indented Natural, Natural",1546.71,NO BGM
HK,G25-2748,1535891703,GIA,ROUND,1.09,H,SI2,EX,EX,EX,NON,6.53 - 6.58 * 4.11,11.3,62.8,58,"Crystal, Needle",1317.81,NO BGM
VN,ET-108,691570399,GIA,ROUND,1.09,L,SI1,EX,EX,EX,NON,6.52 - 6.58 * 4.11,11.3,62.8,55,,755.37,NO BGM
IND,G25-8910,5543299164,GIA,ROUND,1.08,F,VS1,EX,EX,EX,NON,6.51 - 6.55 * 4.10,11.3,62.8,58,"Crystal, Needle",4002.48,NO BGM
HK,G25-4548,2537867390,GIA,ROUND,1.08,F,SI2,EX,EX,EX,NON,6.53 - 6.57 * 4.10,11.3,62.6,58,"Crystal, Cloud, Feather, Needle",1682.1,NO BGM
VN,S25-325,738502775,GIA,ROUND,1.08,F,I1,EX,EX,EX,NON,6.53 - 6.61 * 4.10,11.3,62.3,57,,970.92,NO BGM
IND,S25-1184,1533871406,GIA,ROUND,1.08,G,VS1,EX,EX,EX,FNT,6.54 - 6.57 * 4.11,11.3,62.7,56,"Cloud, Crystal, Needle, Pinpoint, Indented Natural",2931.12,NO BGM
HK,S25-310,738502771,GIA,ROUND,1.08,G,I1,EX,EX,EX,NON,6.60 - 6.64 * 4.01,11.3,60.5,62,,962.28,NO BGM
VN,BBW-67,1539177762,GIA,ROUND,1.08,I,VVS2,EX,EX,EX,NON,6.57 - 6.61 * 4.04,11.3,61.3,60,"Cloud, Needle, Feather, Pinpoint, Natural",2328.48,NO BGM
IND,S25-1807,6532967198,GIA,ROUND,1.08,I,VS1,EX,EX,EX,MED,6.50 - 6.55 * 4.11,11.3,63,57,"Crystal, Feather, Pinpoint, Indented Natural, Natural",1992.6,NO BGM
HK,BR-66,656471452,GIA,ROUND,1.08,K,VS2,EX,EX,EX,NON,6.51 - 6.54 * 4.09,11.3,62.6,57,,933.12,NO BGM
VN,S25-1327,6535916603,GIA,ROUND,1.07,H,VVS1,EX,EX,EX,MED,6.55 - 6.60 * 4.02,11.3,61.1,60,"Pinpoint, Feather",2486.68,NO BGM
IND,DK-19,2.5E+11,GIA,ROUND,1.07,I,SI2,EX,EX,EX,MED,6.52 - 6.56 * 4.10,11.3,62.7,58,,822.29,NO BGM
HK,BX-219,656477033,GIA,ROUND,1.07,K,VS1,EX,EX,EX,SLT,6.47 - 6.54 * 4.10,11.3,62.9,57,,977.45,NO BGM
VN,GR-117,2524463476,GIA,ROUND,1.07,K,SI2,EX,EX,EX,MED,6.49 - 6.53 * 4.10,11.3,62.9,57,"Cloud, Crystal, Needle",898.26,NO BGM
IND,BQ-7,654481196,GIA,ROUND,1.07,L,SI2,EX,EX,EX,NON,6.48 - 6.54 * 4.09,11.3,62.8,57,,706.2,NO BGM
HK,ATO-92,2457611025,GIA,ROUND,1.07,L,I1,EX,EX,EX,NON,6.48 - 6.51 * 4.09,11.3,63,56,"Crystal, Feather, Natural",702.99,NO BGM
VN,BC-134,647430062,GIA,ROUND,1.07,M,VS2,EX,EX,EX,NON,6.49 - 6.55 * 4.09,11.3,62.8,57,,741.51,NO BGM
IND,YL-2,2.4E+11,GIA,ROUND,1.07,M,SI2,EX,EX,EX,MED,6.50 - 6.53 * 4.09,11.3,62.7,58,,577.8,NO BGM
